,FA,SampleID,ug
138,C18.1n7c,BESFA.23.2.03,<LOD
139,C18.1n7c,BESFA.23.2.04,<MRL
140,C18.1n7c,BESFA.23.2.05,<MRL
141,C18.1n7c,BESFA.23.2.06,1.6
142,C18.1n7c,BESFA.23.2.07,0.3
143,C18.1n7c,BESFA.23.2.08,<MRL
144,C18.1n7c,BESFA.23.2.09,0.7
145,C18.1n7c,BESFA.23.2.10,0.5
146,C18.1n7c,BESFA.23.2.11,0.2
147,C18.1n7c,BESFA.23.2.12,1
148,C18.1n7c,BESFA.23.2.13,0.7
149,C18.1n7c,BESFA.23.2.14,0.4
150,C18.1n7c,BESFA.23.2.15,0.4
151,C18.2n6c,BESFA.23.2.01,0.05
152,C18.2n6c,BESFA.23.2.02,0.1
153,C18.2n6c,BESFA.23.2.03,<LOD
154,C18.2n6c,BESFA.23.2.04,<MRL
155,C18.2n6c,BESFA.23.2.05,<MRL
156,C18.2n6c,BESFA.23.2.06,0.7
157,C18.2n6c,BESFA.23.2.07,0.1
158,C18.2n6c,BESFA.23.2.08,<MRL
159,C18.2n6c,BESFA.23.2.09,0.3
160,C18.2n6c,BESFA.23.2.10,<MRL
161,C18.2n6c,BESFA.23.2.11,<MRL
162,C18.2n6c,BESFA.23.2.12,0.5
163,C18.2n6c,BESFA.23.2.13,0.3
164,C18.2n6c,BESFA.23.2.14,<MRL
165,C18.2n6c,BESFA.23.2.15,<MRL
166,C18.3n3c,BESFA.23.2.01,<LOD
167,C18.3n3c,BESFA.23.2.02,<LOD
168,C18.3n3c,BESFA.23.2.03,<LOD
169,C18.3n3c,BESFA.23.2.04,<MRL
170,C18.3n3c,BESFA.23.2.05,0.1
171,C18.3n3c,BESFA.23.2.06,0.5
172,C18.3n3c,BESFA.23.2.07,0.1
173,C18.3n3c,BESFA.23.2.08,0.2
174,C18.3n3c,BESFA.23.2.09,0.3
175,C18.3n3c,BESFA.23.2.10,0.2
176,C18.3n3c,BESFA.23.2.11,0.1
177,C18.3n3c,BESFA.23.2.12,0.4
178,C18.3n3c,BESFA.23.2.13,0.2
179,C18.3n3c,BESFA.23.2.14,0.2
180,C18.3n3c,BESFA.23.2.15,0.1
181,C20.4n6c,BESFA.23.2.01,<LOD
182,C20.4n6c,BESFA.23.2.02,<LOD
183,C20.4n6c,BESFA.23.2.03,<LOD
184,C20.4n6c,BESFA.23.2.04,0.4
185,C20.4n6c,BESFA.23.2.05,0.5
186,C20.4n6c,BESFA.23.2.06,6.3
187,C20.4n6c,BESFA.23.2.07,1.3
188,C20.4n6c,BESFA.23.2.08,1.2
189,C20.4n6c,BESFA.23.2.09,2.8
190,C20.4n6c,BESFA.23.2.10,2.1
191,C20.4n6c,BESFA.23.2.11,1.4
192,C20.4n6c,BESFA.23.2.12,4
193,C20.4n6c,BESFA.23.2.13,2.5
194,C20.4n6c,BESFA.23.2.14,1.9
195,C20.4n6c,BESFA.23.2.15,1.6
196,C20.5n3,BESFA.23.2.01,<LOD
197,C20.5n3,BESFA.23.2.02,<LOD
198,C20.5n3,BESFA.23.2.03,<LOD
199,C20.5n3,BESFA.23.2.04,1.7
200,C20.5n3,BESFA.23.2.05,1.6
201,C20.5n3,BESFA.23.2.06,40.7
202,C20.5n3,BESFA.23.2.07,3.8
203,C20.5n3,BESFA.23.2.08,3.8
204,C20.5n3,BESFA.23.2.09,16.1
205,C20.5n3,BESFA.23.2.10,6.7
206,C20.5n3,BESFA.23.2.11,4.6
207,C20.5n3,BESFA.23.2.12,27.2
208,C20.5n3,BESFA.23.2.13,9.8
209,C20.5n3,BESFA.23.2.14,6.5
210,C20.5n3,BESFA.23.2.15,7.2
211,C22.0,BESFA.23.2.01,0.2
212,C22.0,BESFA.23.2.02,0.1
213,C22.0,BESFA.23.2.03,0.1
214,C22.0,BESFA.23.2.04,<MRL
215,C22.0,BESFA.23.2.05,<MRL
216,C22.0,BESFA.23.2.06,<MRL
217,C22.0,BESFA.23.2.07,0.2
218,C22.0,BESFA.23.2.08,<MRL
219,C22.0,BESFA.23.2.09,<MRL
220,C22.0,BESFA.23.2.10,<MRL
221,C22.0,BESFA.23.2.11,<MRL
222,C22.0,BESFA.23.2.12,<MRL
223,C22.0,BESFA.23.2.13,<MRL
224,C22.0,BESFA.23.2.14,<MRL
225,C22.0,BESFA.23.2.15,<MRL
226,C22.1n9c,BESFA.23.2.01,1.2
227,C22.1n9c,BESFA.23.2.02,1.1
228,C22.1n9c,BESFA.23.2.03,0.9
229,C22.1n9c,BESFA.23.2.04,<MRL
230,C22.1n9c,BESFA.23.2.05,<MRL
231,C22.1n9c,BESFA.23.2.06,<MRL
232,C22.1n9c,BESFA.23.2.07,1.1
233,C22.1n9c,BESFA.23.2.08,<MRL
234,C22.1n9c,BESFA.23.2.09,<MRL
235,C22.1n9c,BESFA.23.2.10,<MRL
236,C22.1n9c,BESFA.23.2.11,<MRL
237,C22.1n9c,BESFA.23.2.12,<MRL
238,C22.1n9c,BESFA.23.2.13,<MRL
239,C22.1n9c,BESFA.23.2.14,<MRL
240,C22.1n9c,BESFA.23.2.15,1.9
241,C22.4n6c,BESFA.23.2.01,<LOD
242,C22.4n6c,BESFA.23.2.02,<LOD
243,C22.4n6c,BESFA.23.2.03,<LOD
244,C22.4n6c,BESFA.23.2.04,0.2
245,C22.4n6c,BESFA.23.2.05,0.2
246,C22.4n6c,BESFA.23.2.06,1.8
247,C22.4n6c,BESFA.23.2.07,<MRL
248,C22.4n6c,BESFA.23.2.08,0.4
249,C22.4n6c,BESFA.23.2.09,1.1
250,C22.4n6c,BESFA.23.2.10,0.6
251,C22.4n6c,BESFA.23.2.11,0.4
